rv,gene_name,mtbc0,h37rv_product,mycobrowser_product,mycobrowser_function,mycobrowser_ec,was_unknown_in_mycobrowser,atlas_verdict,atlas_confidence,atlas_function,atlas_ec,novelty,ahead_of_mycobrowser,ahead_via,ec_vs_mycobrowser,annotation_route,swissprot_curated,functional_basis,support_evidence,n_references
Rv0024,,mtbc0_000029,NLP/P60 family protein,Putative secreted protein P60-related protein,Unknown. The P60 protein is a major extracellular protein may be involved in the invasion of host cells.,,0,family_assigned,medium,C40 family peptidase. Pfam: NLPC_P60 (PF00877.26).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;pseudogene-candidate,0
Rv0025,,mtbc0_000030,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,dark,low,Conserved hypothetical protein; DUF4226 domain-containing. Function unknown.,,still_unknown,0,,,unknown,1,eggNOG;SwissProt;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv0026,,-,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,dark,low,Conserved hypothetical protein; DUF domain(s) DUF4226. Function unknown.,,still_unknown,0,,,unknown,1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0027,,mtbc0_000032,hypothetical protein,Conserved hypothetical protein,,,1,family_assigned,medium,"Type VII secretion system (ESX) EspC-family protein. Pfam assigns the T7SS_ESX_EspC domain (PF10824, E=2.2e-31), a more specific call than the PGAP 'ESX-1 secretion-associated protein' label; consistent with a secreted ESX/Esp-associated substrate. No Rv0027-specific experimental characterization was found.",,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0028,,mtbc0_000033,hypothetical protein,Conserved hypothetical protein,,,1,family_assigned,low,ESX-1 secretion-associated protein (EspH-like). RefSeq leaves it 'hypothetical protein'.,,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0029,,mtbc0_000035,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,dark,low,"Conserved hypothetical protein; tandem DUF5631 + DUF5632 domains. Foldseek finds a significant structural match to Rv3899c (PDB 5IMU), another conserved hypothetical M. tuberculosis protein of unknown function (a proposed vaccine candidate): the fold is thus structurally characterised but the biological function remains unassigned.",,still_unknown,0,,,unknown,0,eggNOG;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv0030,,mtbc0_000036,hypothetical protein,Conserved hypothetical protein,,,1,family_assigned,medium,"YbaB/EbfC-family nucleoid-associated protein (DNA-binding): HHpred matches the YbaB/EbfC fold with high confidence (99.7%, E1.7e-15), including the CHARACTERISED M. tuberculosis YbaB/EbfC nucleoid-associated protein Rv3716c (99.66%, E4e-15) and the founding YbaB (1J8B, E3.2e-14). Rv0030 is thus a paralog of Rv3716c; YbaB/EbfC proteins are nucleoid-associated DNA-binding proteins involved in nucleoid organisation / gene regulation. The specific regulatory role of this paralog is undetermined. RefSeq leaves this locus uncharacterised.",,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0032,bioF2,mtbc0_000037,8-amino-7-oxononanoate synthase,Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase),Could be involved in biotin biosynthesis (at the first step) [catalytic activity: 6-carboxyhexanoyl-CoA + L-alanine = 8-amino-7-oxononanoate + CoA + CO2].,2.3.1.47,0,family_assigned,medium,"Pyridoxal phosphate-dependent aminotransferase family protein. Pfam: Acetyltransf_6 (PF13480.14), Aminotran_1_2 (PF00155.28), Beta_elim_lyase (PF01212.28), DegT_DnrJ_EryC1 (PF01041.24).",2.3.1.47,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0033,acpA,mtbc0_000038,acyl carrier protein AcpA,Probable acyl carrier protein AcpA (ACP),Key component in de novo fatty acid biosynthesis. This protein is supposed to be the carrier of the growing fatty acid chain in fatty acid biosynthesis.,,0,requalified,high,Acyl carrier protein. Pfam: PP-binding (PF00550.32).,6.2.1.50,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection,0
Rv0034,,mtbc0_000039,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,"NTF2-like / SnoaL-like superfamily protein (Pfam SnoaL_2, PF12680). This alpha+beta cone fold occurs in polyketide cyclases, ketosteroid isomerases and NTF2 domains, often binding a hydrophobic ligand in a deep cavity. The precise physiological role in M. tuberculosis is not established.",,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0035,fadD34,-,fatty-acid--CoA ligase FadD34,Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),"Function unknown, but involved in lipid degradation.",6.2.1.-,0,requalified,high,Fatty-acid--CoA ligase FadD34. Pfam: AMP-binding (PF00501.35).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0036c,,mtbc0_000041,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,"Putative DinB/YfiT-like metal-dependent enzyme (Pfam DinB_2 PF12867, with MDMPI_N PF11716). The DinB superfamily is a versatile metal-binding four-helix bundle; PGAP annotates a TIGR03084-family metal-binding protein. Distinct from the Y-family DNA polymerases DinB1/DinB2 (Rv1537/Rv3056); the specific catalytic activity of Rv0036c is not established.",,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv0037c,,mtbc0_000042,MFS-type transporter,Probable conserved integral membrane protein,Unknown; possibly involved in transport of macrolide across the membrane.,,0,requalified,high,MFS transporter. Pfam: MFS_1 (PF07690.22).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0038,,mtbc0_000043,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,low,"UPF0301 / YqgE/AlgH family protein (Pfam DUF179, PF02622). A widely conserved bacterial family of unknown precise molecular function; the AlgH homolog has been linked to alginate regulation in Pseudomonas, but the activity is uncharacterised. Role in M. tuberculosis unknown.",,new_family_or_domain,1,COG category,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING;phenotype,purifying-selection;MS-detected,0
Rv0039c,,mtbc0_000044,transmembrane protein,Possible conserved transmembrane protein,,,0,dark,low,Conserved hypothetical protein; no recognised domain. Function unknown.,,still_unknown,0,,,unknown,1,eggNOG;SwissProt;Foldseek;STRING;integrative,,0
Rv0040c,mtc28,mtbc0_000045,hypothetical protein,Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen),,,0,family_assigned,medium,"Cell-envelope lipoprotein of the LpqN/LpqT family (Pfam Lpp-LpqN, PF10738). Members are anchored to the mycobacterial envelope; the specific physiological role of this locus is not established here.",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING;phenotype,MS-detected,0
Rv0041,leuS,mtbc0_000046,leucine--tRNA ligase,Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS),Involved in translation mechanism [catalytic activity: ATP + L-leucine + tRNA(LEU) = AMP + diphosphate + L-leucyl-tRNA(LEU)].,6.1.1.4,0,requalified,high,"Leucine--tRNA ligase. Pfam: tRNA-synt_1 (PF00133.29), tRNA-synt_1g (PF09334.18), tRNA-synt_1_2 (PF13603.13), Anticodon_1 (PF08264.20).",6.1.1.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0042c,,-,transcriptional regulator,Possible transcriptional regulatory protein (probably MarR-family),Possibly involved in transcriptional mechanism.,,0,family_assigned,medium,"Transcriptional regulator. Pfam: MarR_2 (PF12802.14), Staph_reg_Sar_Rot (PF22381.3), MarR (PF01047.29), HTH_27 (PF13463.13).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0043c,,mtbc0_000048,HTH-type transcriptional regulator,Probable transcriptional regulatory protein (probably GntR-family),Involved in transcriptional mechanism.,,0,family_assigned,medium,GntR family transcriptional regulator. Pfam: GntR (PF00392.28).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0044c,,mtbc0_000049,oxidoreductase,Possible oxidoreductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,requalified,high,LLM class F420-dependent oxidoreductase. Pfam: Bac_luciferase (PF00296.27).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0045c,,mtbc0_000050,hydrolase,Possible hydrolase,Function unknown; probably involved in lipid biosynthesis.,3.-.-.-,0,family_assigned,medium,"Alpha/beta hydrolase. Pfam: Abhydrolase_1 (PF00561.27), Abhydrolase_6 (PF12697.14).",3.1.1.1,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv0046c,ino1,mtbc0_000051,inositol-3-phosphate synthase,myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase),Involved in phosphatidylinositol (PI) biosynthetic pathway [catalytic activity: D-glucose 6-phosphate = 1L-myo-inositol 1-phosphate].,,0,requalified,high,Inositol-3-phosphate synthase. Pfam: Inos-1-P_synth (PF01658.23).,5.5.1.4,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;MS-detected,0
Rv0047c,,mtbc0_000052,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,"PadR-family transcriptional regulator (Pfam PadR, PF03551). PadR repressors typically control detoxification and multidrug/stress-response genes; the regulon governed by this locus in M. tuberculosis is not established.",,new_family_or_domain,1,COG category,,curation/synthesis,0,eggNOG;Pfam;Foldseek;PDB;STRING;phenotype,vulnerable;MS-detected,0
Rv0048c,,mtbc0_000053,membrane protein,Possible membrane protein,,,0,family_assigned,low,Lipoprotein of the EnvF-like family (cell-envelope). RefSeq leaves it 'membrane protein'.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0049,,-,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,dark,low,"Conserved hypothetical protein; DUF domain(s) DUF5318. Function unknown. Foldseek best (non-significant) hit: 6ewl-assembly1_A Danio rerio CEP120 first C2 domain (C2A) (prob 0.20, TM 0.40).",,still_unknown,0,,,unknown,1,eggNOG;SwissProt;Pfam;Foldseek;STRING;phenotype,purifying-selection;MS-detected,0
Rv0050,ponA1,-,bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase,Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase),"Involved in peptidoglycan synthesis (at the final stages), cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross-linking of the peptide subunits).",2.4.2.-;3.4.-.-,0,requalified,high,"Bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase. Pfam: Transgly (PF00912.29), Transpeptidase (PF00905.28).",2.4.99.28;3.4.16.4,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv0051,,mtbc0_000056,transmembrane protein,Probable conserved transmembrane protein,,,0,family_assigned,medium,Glycosyltransferase family 87 protein. Pfam: GT87 (PF09594.17).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0052,,-,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,Contains DJ-1_PfpI (PF01965.31) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0053,rpsF,mtbc0_000058,30S ribosomal protein S6,30S ribosomal protein S6 RpsF,Binds together with S18 to 16S ribosomal RNA.,,0,requalified,high,30S ribosomal protein S6. Pfam: Ribosomal_S6 (PF01250.23).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;MS-detected,0
Rv0054,ssb,mtbc0_000059,single-strand DNA-binding protein,Single-strand binding protein Ssb (helix-destabilizing protein),This protein is essential for replication of the chromosome. It is also involved in DNA recombination and repair.,,0,family_assigned,medium,Single-stranded DNA-binding protein. Pfam: SSB (PF00436.32).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0055,rpsR1,-,30S ribosomal protein S18,30S ribosomal protein S18-1 RpsR1,This protein has been implicated in aminoacyl-transfer RNA binding. It appears to be situated at the decoding site of messenger RNA.,,0,requalified,high,30S ribosomal protein S18. Pfam: Ribosomal_S18 (PF01084.27).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0056,rplI,mtbc0_000061,50S ribosomal protein L9,50S ribosomal protein L9 RplI,Binds to the 23S rRNA.,,0,requalified,high,"50S ribosomal protein L9. Pfam: Ribosomal_L9_N (PF01281.26), Ribosomal_L9_C (PF03948.20).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0057,,mtbc0_000062,hypothetical protein,Hypothetical protein,,,1,dark,low,Conserved hypothetical protein. No Pfam-A domain above the gathering threshold and no Foldseek structural hit on the ESMFold model: genuinely uncharacterised at both the sequence and the structure level.,,still_unknown,0,,,unknown,1,SwissProt;Foldseek;STRING,vulnerable;pseudogene-candidate,0
Rv0058,dnaB,mtbc0_000063,replicative DNA helicase,Probable replicative DNA helicase DnaB,Participates in initiation and elongation during chromosome replication; it exhibits DNA-dependent ATPase activity. The intein is an endonuclease (potential).,3.1.-.-;3.6.4.12,0,requalified,high,"Replicative DNA helicase. Pfam: DnaB (PF00772.27), DnaB_C (PF03796.22), AAA_25 (PF13481.13), Intein_splicing (PF14890.12), LAGLIDADG_3 (PF14528.12).",3.1.-.-;3.6.4.12;5.6.2.3,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
