locus	len_aa	refseq_product	verdict	function_revised
Rv2308	238	DUF433 domain-containing protein	family_assigned	DUF433 domain-containing protein.
Rv2375	105	type II toxin-antitoxin system VapB family antitoxin	family_assigned	Type II toxin-antitoxin system VapB family antitoxin. Pfam: VapB (PF23719.2).
Rv2405	189	hypothetical protein	family_assigned	Contains PemK_toxin (PF02452.24) domain(s); putative function inferred from the domain architecture.
Rv2530A	74	antitoxin VapB39	requalified	Antitoxin VapB39.
Rv2601A	95	antitoxin VapB41	requalified	Antitoxin VapB41.
Rv2619c	117	cupin domain-containing protein	family_assigned	Cupin domain-containing protein.
Rv2663	77	hypothetical protein	family_assigned	No Pfam domain above threshold; Foldseek indicates a fold similar to 7vd7-assembly1_A Toxin - Antitoxin complex from Sal
Rv2801A	76	antitoxin MazE9	requalified	Antitoxin MazE9.
Rv2826c	294	nucleotidyl transferase AbiEii/AbiGii toxin family protein	family_assigned	Nucleotidyl transferase AbiEii/AbiGii toxin family protein. Pfam: AbiEii (PF08843.18).
Rv2827c	295	type IV toxin-antitoxin system AbiEi family antitoxin	family_assigned	Type IV toxin-antitoxin system AbiEi family antitoxin. Pfam: AbiEi_1 (PF09407.17).
Rv2862A	82	antitoxin VapB23	requalified	Antitoxin VapB23.
Rv3098A	106	PemK-like protein	family_assigned	PemK-like protein. Pfam: PemK_toxin (PF02452.24).
Rv3105c	378	peptide chain release factor PrfB	requalified	Peptide chain release factor PrfB. Pfam: PCRF (PF03462.24), RF-1 (PF00472.27).
Rv3182	114	type II toxin-antitoxin system RelE/ParE family toxin	family_assigned	Type II toxin-antitoxin system RelE/ParE family toxin. Pfam: Gp49 (PF05973.21).
Rv3188	115	antitoxin Xre/MbcA/ParS toxin-binding domain-containing protein	family_assigned	Antitoxin Xre/MbcA/ParS toxin-binding domain-containing protein.
Rv3385c	102	antitoxin VapB46	requalified	Antitoxin VapB46. Pfam: PhdYeFM_antitox (PF02604.27).
Rv3407	99	antitoxin VapB47	requalified	Antitoxin VapB47. Pfam: PhdYeFM_antitox (PF02604.27).
Rv3642c	64	antitoxin VbhA family protein	family_assigned	Antitoxin VbhA family protein. Pfam: VbhA (PF18495.7).
Rv3697A	74	antitoxin VapB48	requalified	Antitoxin VapB48.
Rv3749c	169	hypothetical protein	family_assigned	Contains VapC50_C (PF26343.1) domain(s); putative function inferred from the domain architecture.
Rv3902c	176	necrotizing toxin immunity factor IFT	requalified	Necrotizing toxin immunity factor IFT. Pfam: Imm61 (PF15598.12).
Rv3903c	846	outer membrane channel protein/necrotizing toxin glycohydrolase CpnT	requalified	Outer membrane channel protein/necrotizing toxin glycohydrolase CpnT. Pfam: WXG100_2 (PF25547.2), TNT (PF14021.13).
